datetime,open,high,low,close
2026-01-02 00:00:00,4386.0,4395.0,4383.5,4394.10009765625
2026-01-02 01:00:00,4393.5,4394.0,4386.10009765625,4387.60009765625
2026-01-02 02:00:00,4387.60009765625,4395.5,4384.2001953125,4394.7001953125
2026-01-02 03:00:00,4394.60009765625,4409.5,4392.60009765625,4399.2001953125
2026-01-02 04:00:00,4398.89990234375,4404.0,4395.60009765625,4397.5
2026-01-02 05:00:00,4397.60009765625,4410.7998046875,4396.7001953125,4408.7001953125
2026-01-02 06:00:00,4408.39990234375,4411.7998046875,4403.0,4405.5
2026-01-02 07:00:00,4405.2001953125,4410.7001953125,4397.39990234375,4407.0
2026-01-02 08:00:00,4407.0,4414.7998046875,4373.60009765625,4377.60009765625
2026-01-02 09:00:00,4377.7998046875,4385.7998046875,4359.2001953125,4364.7001953125
2026-01-02 10:00:00,4364.7001953125,4368.7001953125,4341.39990234375,4346.5
2026-01-02 11:00:00,4346.7001953125,4348.60009765625,4325.2998046875,4337.5
2026-01-02 12:00:00,4337.10009765625,4344.5,4332.89990234375,4332.89990234375
2026-01-02 13:00:00,4333.0,4334.10009765625,4319.7001953125,4325.2998046875
2026-01-02 14:00:00,4325.5,4336.2001953125,4325.5,4328.10009765625
2026-01-02 15:00:00,4328.2998046875,4341.39990234375,4327.39990234375,4341.2998046875
2026-01-02 16:00:00,4341.39990234375,4342.7001953125,4329.60009765625,4329.60009765625
2026-01-04 18:00:00,4368.7998046875,4385.39990234375,4363.2998046875,4381.39990234375
2026-01-04 19:00:00,4381.89990234375,4406.39990234375,4379.2998046875,4404.5
2026-01-04 20:00:00,4404.60009765625,4430.7001953125,4400.39990234375,4411.10009765625
2026-01-04 21:00:00,4411.39990234375,4418.7998046875,4397.10009765625,4415.0
2026-01-04 22:00:00,4414.7998046875,4423.2001953125,4408.5,4408.7998046875
2026-01-04 23:00:00,4408.60009765625,4417.7998046875,4406.10009765625,4415.10009765625
2026-01-05 00:00:00,4413.39990234375,4423.60009765625,4410.0,4421.39990234375
2026-01-05 01:00:00,4421.10009765625,4436.10009765625,4420.2998046875,4429.7001953125
2026-01-05 02:00:00,4429.89990234375,4434.89990234375,4426.2998046875,4431.2001953125
2026-01-05 03:00:00,4431.39990234375,4444.0,4429.2001953125,4439.89990234375
2026-01-05 04:00:00,4439.7998046875,4449.10009765625,4436.7998046875,4445.89990234375
2026-01-05 05:00:00,4446.0,4451.7001953125,4441.60009765625,4447.39990234375
2026-01-05 06:00:00,4447.7001953125,4448.7998046875,4422.2001953125,4430.7001953125
2026-01-05 07:00:00,4430.5,4433.0,4416.7001953125,4421.39990234375
2026-01-05 08:00:00,4421.5,4430.60009765625,4407.0,4428.7998046875
2026-01-05 09:00:00,4429.0,4454.2998046875,4428.2998046875,4447.7998046875
2026-01-05 10:00:00,4448.2001953125,4467.60009765625,4445.60009765625,4459.0
2026-01-05 11:00:00,4458.7998046875,4465.7998046875,4448.89990234375,4452.7001953125
