datetime,open,high,low,close
2025-01-01 00:00:00,2611.28003,2616.19995,2605.43994,2613.30005
2025-01-01 01:00:00,2613.34009,2617.92993,2611.35010,2613.77002
2025-01-01 02:00:00,2613.65991,2626.68994,2612.53003,2625.86011
2025-01-01 03:00:00,2625.78003,2627.23999,2622.43994,2625.29004
2025-01-01 04:00:00,2625.53003,2627.57007,2623.31006,2624.38989
2025-01-01 05:00:00,2624.39990,2627.18994,2622.67993,2624.97998
2025-01-01 06:00:00,2624.90991,2627.27002,2622.90991,2623.84009
2025-01-01 07:00:00,2623.66992,2624.98999,2622.15991,2623.34009
2025-01-01 08:00:00,2623.31006,2625.030029,2622.98999,2624.56006
2025-01-02 10:00:00,2625.14990,2625.73999,2621.78003,2623.80005
2025-01-02 11:00:00,2624.11011,2627.89990,2622.85010,2625.52002
2025-01-02 12:00:00,2625.53003,2634.53003,2623.90991,2633.10010
2025-01-02 13:00:00,2633.14990,2636.47998,2632.39990,2634.81006
2025-01-02 14:00:00,2634.84009,2635.40991,2632.42993,2633.77002
2025-01-02 15:00:00,2633.72998,2634.23999,2631.21997,2634.050049
2025-01-02 16:00:00,2634.060059,2636.55005,2633.26001,2634.14990
2025-01-02 17:00:00,2634.14990,2635.48999,2631.43994,2634.18994
2025-01-02 18:00:00,2634.22998,2636.10010,2633.14990,2636.10010
2025-01-02 19:00:00,2636.40991,2637.81006,2631.22998,2636.56006
2025-01-02 20:00:00,2636.56006,2640.070068,2636.13989,2636.18994
2025-01-02 21:00:00,2636.18994,2646.12012,2632.80005,2642.78003
2025-01-02 22:00:00,2642.77002,2644.67993,2640.36011,2642.090088
2025-01-02 23:00:00,2642.10010,2646.56006,2640.42993,2643.51001
2025-01-03 00:00:00,2643.47998,2647.30005,2636.21997,2643.030029
2025-01-03 01:00:00,2643.10010,2651.10010,2640.52002,2647.85010
2025-01-03 02:00:00,2647.66992,2655.85010,2645.40991,2654.14990
2025-01-03 03:00:00,2654.15991,2660.43994,2650.11011,2659.36011
2025-01-03 04:00:00,2659.35010,2660.44995,2652.63989,2656.61011
2025-01-03 05:00:00,2656.62012,2658.84009,2653.88989,2655.48999
2025-01-03 06:00:00,2655.56006,2657.18994,2653.89990,2654.78003
2025-01-03 07:00:00,2654.93994,2660.44995,2654.26001,2659.78003
2025-01-03 08:00:00,2659.85010,2660.22998,2656.61011,2658.28003
2025-01-03 10:00:00,2657.62012,2659.63989,2657.61011,2658.48999
2025-01-03 11:00:00,2658.55005,2661.17993,2658.55005,2660.63989
2025-01-03 12:00:00,2660.71997,2662.31006,2656.80005,2659.5
2025-01-03 13:00:00,2659.26001,2664.090088,2656.39990,2662.52002
2025-01-03 14:00:00,2662.56006,2665.34009,2661.38989,2662.39990
2025-01-03 15:00:00,2662.36011,2664.44995,2661.85010,2662.93994
2025-01-03 16:00:00,2662.92993,2663.030029,2656.010010,2658.66992
2025-01-03 17:00:00,2658.67993,2660.37988,2656.84009,2659.77002
2025-01-03 18:00:00,2659.43994,2659.64990,2651.90991,2654.40991
2025-01-03 19:00:00,2654.31006,2655.81006,2649.92993,2653.060059
2025-01-03 20:00:00,2653.030029,2655.96997,2652.94995,2653.68994
2025-01-03 21:00:00,2653.64990,2658.020020,2653.21997,2657.81006
2025-01-03 22:00:00,2657.69995,2659.37988,2656.43994,2657.73999
2025-01-03 23:00:00,2657.68994,2658.34009,2654.93994,2655.40991
2025-01-04 00:00:00,2655.10010,2656.38989,2643.64990,2649.85010
2025-01-04 01:00:00,2649.94995,2652.69995,2645.22998,2647.98999
2025-01-04 02:00:00,2647.23999,2648.27002,2641.11011,2643.98999
2025-01-04 03:00:00,2643.89990,2647.31006,2639.17993,2640.050049
2025-01-04 04:00:00,2640.060059,2642.69995,2639.22998,2641.85010
2025-01-04 05:00:00,2641.87988,2642.36011,2639.81006,2641.93994
2025-01-04 06:00:00,2641.68994,2642.97998,2639.21997,2639.68994
2025-01-04 07:00:00,2639.42993,2640.14990,2637.030029,2638.28003
2025-01-04 08:00:00,2638.28003,2640.85010,2636.83008,2639.48999
2025-01-06 10:00:00,2639.91992,2642.44995,2639.83008,2641.10010
2025-01-06 11:00:00,2641.14990,2643.35010,2638.69995,2643.27002
2025-01-06 12:00:00,2643.34009,2647.39990,2640.84009,2641.36011
2025-01-06 13:00:00,2641.060059,2645.35010,2639.93994,2644.56006
2025-01-06 14:00:00,2644.52002,2645.36011,2639.44995,2640.21997
2025-01-06 15:00:00,2640.20996,2640.85010,2634.97998,2635.53003
2025-01-06 16:00:00,2635.51001,2636.28003,2631.98999,2633.93994
2025-01-06 17:00:00,2633.84009,2635.32007,2630.32007,2631.60010
2025-01-06 18:00:00,2631.59009,2633.71997,2625.52002,2626.93994
2025-01-06 19:00:00,2626.87988,2632.59009,2625.88989,2631.59009
2025-01-06 20:00:00,2631.27002,2635.81006,2631.27002,2632.76001
2025-01-06 21:00:00,2633.15991,2635.070068,2631.020020,2633.85010
2025-01-06 22:00:00,2633.88989,2649.46997,2632.64990,2645.64990
2025-01-06 23:00:00,2645.61011,2647.85010,2642.060059,2645.56006
2025-01-07 00:00:00,2645.63989,2648.88989,2622.060059,2624.14990
2025-01-07 01:00:00,2624.070068,2634.68994,2614.88989,2631.64990
2025-01-07 02:00:00,2631.76001,2639.64990,2629.46997,2634.36011
2025-01-07 03:00:00,2634.47998,2641.21997,2632.61011,2640.81006
2025-01-07 04:00:00,2640.87988,2641.060059,2634.32007,2636.81006
2025-01-07 05:00:00,2636.81006,2638.60010,2633.89990,2634.68994
